Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2021-07-12	2021-10-04	1	-35.5	716.5	1004.0	-496.0
2021-07-12	2021-10-05	1	160.5	877.0	1004.0	-496.0
2021-07-12	2021-10-06	1	82.5	959.5	1004.0	-496.0
2021-07-12	2021-10-07	1	175.0	1134.5	1267.5	-232.5
2021-07-12	2021-10-08	1	-124.0	1010.5	1267.5	-232.5
2021-07-12	2021-10-11	1	116.5	1127.0	1267.5	-232.5
2021-07-12	2021-10-12	1	-73.5	1053.5	1267.5	-232.5
2021-07-12	2021-10-13	1	167.0	1220.5	1267.5	-232.5
2021-07-12	2021-10-14	1	159.5	1380.0	1427.5	-72.5
2021-07-12	2021-10-15	1	120.0	1500.0	1427.5	-72.5
2021-07-13	2021-07-13	1	-127.0	-127.0	46.0	-1454.0
2021-07-13	2021-07-14	1	-135.5	-262.5	46.0	-1454.0
2021-07-13	2021-07-15	1	-0.5	-263.0	46.0	-1454.0
2021-07-13	2021-07-16	1	-71.5	-334.5	46.0	-1454.0
2021-07-13	2021-07-19	1	-216.0	-550.5	46.0	-1454.0
2021-07-13	2021-07-20	1	-132.0	-682.5	46.0	-1454.0
2021-07-13	2021-07-21	1	194.0	-488.5	46.0	-1454.0
2021-07-13	2021-07-22	1	88.5	-400.0	46.0	-1454.0
2021-07-13	2021-07-23	1	71.0	-329.0	46.0	-1454.0
2021-07-13	2021-07-26	1	3.0	-326.0	46.0	-1454.0
2021-07-13	2021-07-27	1	89.5	-236.5	46.0	-1454.0
2021-07-13	2021-07-28	1	82.0	-154.5	46.0	-1454.0
2021-07-13	2021-07-29	1	63.5	-91.0	46.0	-1454.0
2021-07-13	2021-07-30	1	227.5	136.5	136.5	-1363.5
2021-07-13	2021-08-02	1	-85.5	51.0	198.0	-1302.0
2021-07-13	2021-08-03	1	163.0	214.0	214.0	-1286.0
2021-07-13	2021-08-04	1	1.5	215.5	215.5	-1284.5
2021-07-13	2021-08-05	1	21.0	236.5	268.5	-1231.5
2021-07-13	2021-08-06	1	-97.0	139.5	268.5	-1231.5
2021-07-13	2021-08-09	1	154.5	294.0	294.0	-1206.0
2021-07-13	2021-08-10	1	-55.0	239.0	294.0	-1206.0
2021-07-13	2021-08-11	1	167.5	406.5	406.5	-1093.5
2021-07-13	2021-08-12	1	-58.0	348.5	415.0	-1085.0
2021-07-13	2021-08-13	1	-32.0	316.5	415.0	-1085.0
2021-07-13	2021-08-16	1	8.0	324.5	415.0	-1085.0
2021-07-13	2021-08-17	1	7.5	332.0	415.0	-1085.0
2021-07-13	2021-08-18	1	-15.0	317.0	415.0	-1085.0
2021-07-13	2021-08-19	1	-13.0	304.0	415.0	-1085.0
2021-07-13	2021-08-20	1	-27.5	276.5	415.0	-1085.0
2021-07-13	2021-08-23	1	91.0	367.5	415.0	-1085.0
2021-07-13	2021-08-24	1	45.5	413.0	447.5	-1052.5
2021-07-13	2021-08-25	1	18.5	431.5	447.5	-1052.5
2021-07-13	2021-08-26	1	-137.5	294.0	447.5	-1052.5
2021-07-13	2021-08-27	1	-55.0	239.0	447.5	-1052.5
2021-07-13	2021-08-30	1	264.5	503.5	503.5	-996.5
2021-07-13	2021-08-31	1	-94.0	409.5	512.0	-988.0
2021-07-13	2021-09-01	1	42.5	452.0	554.5	-945.5
2021-07-13	2021-09-02	1	52.5	504.5	554.5	-945.5
2021-07-13	2021-09-03	1	64.0	568.5	568.5	-931.5
2021-07-13	2021-09-06	1	23.0	591.5	591.5	-908.5
2021-07-13	2021-09-07	1	16.0	607.5	635.5	-864.5
2021-07-13	2021-09-08	1	53.0	660.5	660.5	-839.5
2021-07-13	2021-09-09	1	-100.5	560.0	662.0	-838.0
2021-07-13	2021-09-10	1	-45.5	514.5	662.0	-838.0
2021-07-13	2021-09-13	1	145.5	660.0	685.0	-815.0
2021-07-13	2021-09-14	1	-108.5	551.5	685.0	-815.0
2021-07-13	2021-09-15	1	120.5	672.0	685.0	-815.0
2021-07-13	2021-09-16	1	-44.0	628.0	685.0	-815.0
2021-07-13	2021-09-17	1	-140.0	488.0	685.0	-815.0
2021-07-13	2021-09-20	1	56.0	544.0	685.0	-815.0
2021-07-13	2021-09-21	1	3.0	547.0	781.5	-718.5
2021-07-13	2021-09-22	1	137.5	684.5	795.5	-704.5
2021-07-13	2021-09-23	1	116.0	800.5	832.5	-667.5
2021-07-13	2021-09-24	1	12.5	813.0	832.5	-667.5
2021-07-13	2021-09-27	1	34.5	847.5	944.0	-556.0
2021-07-13	2021-09-28	1	-316.5	531.0	944.0	-556.0
2021-07-13	2021-09-29	1	141.0	672.0	944.0	-556.0
2021-07-13	2021-09-30	1	-283.0	389.0	944.0	-556.0
2021-07-13	2021-10-01	1	303.0	692.0	944.0	-556.0
2021-07-13	2021-10-04	1	-35.5	656.5	944.0	-556.0
2021-07-13	2021-10-05	1	160.5	817.0	944.0	-556.0
2021-07-13	2021-10-06	1	82.5	899.5	944.0	-556.0
2021-07-13	2021-10-07	1	175.0	1074.5	1207.5	-292.5
2021-07-13	2021-10-08	1	-124.0	950.5	1207.5	-292.5
2021-07-13	2021-10-11	1	116.5	1067.0	1207.5	-292.5
2021-07-13	2021-10-12	1	-73.5	993.5	1207.5	-292.5
2021-07-13	2021-10-13	1	167.0	1160.5	1207.5	-292.5
2021-07-13	2021-10-14	1	159.5	1320.0	1367.5	-132.5
2021-07-13	2021-10-15	1	180.0	1500.0	1367.5	-132.5
2021-07-14	2021-07-14	1	-135.5	-135.5	0.0	-1500.0
2021-07-14	2021-07-15	1	-0.5	-136.0	0.0	-1500.0
2021-07-14	2021-07-16	1	-71.5	-207.5	0.0	-1500.0
2021-07-14	2021-07-19	1	-216.0	-423.5	0.0	-1500.0
2021-07-14	2021-07-20	1	-132.0	-555.5	0.0	-1500.0
2021-07-14	2021-07-21	1	194.0	-361.5	0.0	-1500.0
2021-07-14	2021-07-22	1	88.5	-273.0	0.0	-1500.0
2021-07-14	2021-07-23	1	71.0	-202.0	0.0	-1500.0
2021-07-14	2021-07-26	1	3.0	-199.0	0.0	-1500.0
2021-07-14	2021-07-27	1	89.5	-109.5	0.0	-1500.0
2021-07-14	2021-07-28	1	82.0	-27.5	41.0	-1459.0
2021-07-14	2021-07-29	1	63.5	36.0	92.5	-1407.5
2021-07-14	2021-07-30	1	227.5	263.5	263.5	-1236.5
2021-07-14	2021-08-02	1	-85.5	178.0	325.0	-1175.0
2021-07-14	2021-08-03	1	163.0	341.0	341.0	-1159.0
2021-07-14	2021-08-04	1	1.5	342.5	342.5	-1157.5
2021-07-14	2021-08-05	1	21.0	363.5	395.5	-1104.5
2021-07-14	2021-08-06	1	-97.0	266.5	395.5	-1104.5
2021-07-14	2021-08-09	1	154.5	421.0	421.0	-1079.0
2021-07-14	2021-08-10	1	-55.0	366.0	421.0	-1079.0
2021-07-14	2021-08-11	1	167.5	533.5	533.5	-966.5
2021-07-14	2021-08-12	1	-58.0	475.5	542.0	-958.0
2021-07-14	2021-08-13	1	-32.0	443.5	542.0	-958.0
2021-07-14	2021-08-16	1	8.0	451.5	542.0	-958.0
2021-07-14	2021-08-17	1	7.5	459.0	542.0	-958.0
2021-07-14	2021-08-18	1	-15.0	444.0	542.0	-958.0
2021-07-14	2021-08-19	1	-13.0	431.0	542.0	-958.0
