Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
08.04.2021	5	5.00	101.00	20.20	0.00	10 343.00	10 343.00	10 242.00	10 353.00	10 242.00	10 343.00
09.04.2021	6	6.00	173.50	28.92	0.00	10 516.50	10 516.50	10 343.00	10 516.50	10 329.50	10 516.50
12.04.2021	2	2.00	19.00	9.50	0.00	10 535.50	10 535.50	10 516.50	10 535.50	10 476.00	10 535.50
13.04.2021	8	8.00	295.00	36.88	0.00	10 830.50	10 830.50	10 535.50	10 830.50	10 464.50	10 830.50
14.04.2021	4	4.00	-12.50	-3.13	0.00	10 818.00	10 818.00	10 830.50	10 895.50	10 816.00	10 818.00
15.04.2021	9	9.00	35.00	3.89	0.00	10 853.00	10 853.00	10 818.00	10 907.50	10 780.50	10 853.00
16.04.2021	6	6.00	45.00	7.50	0.00	10 898.00	10 898.00	10 853.00	10 898.00	10 806.50	10 898.00
19.04.2021	6	6.00	-23.50	-3.92	0.00	10 874.50	10 874.50	10 898.00	10 958.00	10 791.00	10 874.50
20.04.2021	6	6.00	-37.50	-6.25	0.00	10 837.00	10 837.00	10 874.50	10 897.50	10 784.50	10 837.00
21.04.2021	8	8.00	119.50	14.94	0.00	10 956.50	10 956.50	10 837.00	10 956.50	10 726.00	10 956.50
22.04.2021	6	6.00	-74.50	-12.42	0.00	10 882.00	10 882.00	10 956.50	11 000.00	10 882.00	10 882.00
23.04.2021	3	3.00	112.50	37.50	0.00	10 994.50	10 994.50	10 882.00	10 994.50	10 841.00	10 994.50
26.04.2021	7	7.00	68.50	9.79	0.00	11 063.00	11 063.00	10 994.50	11 063.00	10 943.50	11 063.00
27.04.2021	7	7.00	-106.00	-15.14	0.00	10 957.00	10 957.00	11 063.00	11 102.00	10 957.00	10 957.00
28.04.2021	8	8.00	-143.50	-17.94	0.00	10 813.50	10 813.50	10 957.00	10 993.50	10 813.50	10 813.50
29.04.2021	6	6.00	160.00	26.67	0.00	10 973.50	10 973.50	10 813.50	10 973.50	10 813.50	10 973.50
30.04.2021	8	8.00	-112.50	-14.06	0.00	10 861.00	10 861.00	10 973.50	10 997.50	10 861.00	10 861.00
03.05.2021	4	4.00	100.50	25.13	0.00	10 961.50	10 961.50	10 861.00	10 974.50	10 861.00	10 961.50
04.05.2021	5	5.00	33.00	6.60	0.00	10 994.50	10 994.50	10 961.50	10 994.50	10 797.50	10 994.50
05.05.2021	8	8.00	-62.00	-7.75	0.00	10 932.50	10 932.50	10 994.50	11 168.50	10 932.50	10 932.50
06.05.2021	7	7.00	413.00	59.00	0.00	11 345.50	11 345.50	10 932.50	11 345.50	10 932.50	11 345.50
07.05.2021	7	7.00	35.50	5.07	0.00	11 381.00	11 381.00	11 345.50	11 508.00	11 257.50	11 381.00
10.05.2021	8	8.00	-426.00	-53.25	0.00	10 955.00	10 955.00	11 381.00	11 381.00	10 955.00	10 955.00
11.05.2021	5	5.00	391.50	78.30	0.00	11 346.50	11 346.50	10 955.00	11 346.50	10 888.00	11 346.50
12.05.2021	10	10.00	-578.50	-57.85	0.00	10 768.00	10 768.00	11 346.50	11 357.00	10 768.00	10 768.00
13.05.2021	5	5.00	55.50	11.10	0.00	10 823.50	10 823.50	10 768.00	10 824.00	10 670.50	10 823.50
14.05.2021	5	5.00	124.00	24.80	0.00	10 947.50	10 947.50	10 823.50	10 998.50	10 782.50	10 947.50
17.05.2021	9	9.00	-327.00	-36.33	0.00	10 620.50	10 620.50	10 947.50	10 947.50	10 470.00	10 620.50
18.05.2021	7	7.00	-68.50	-9.79	0.00	10 552.00	10 552.00	10 620.50	10 742.00	10 552.00	10 552.00
19.05.2021	5	5.00	-181.50	-36.30	0.00	10 370.50	10 370.50	10 552.00	10 552.00	10 370.50	10 370.50
20.05.2021	3	3.00	129.50	43.17	0.00	10 500.00	10 500.00	10 370.50	10 515.00	10 370.50	10 500.00
21.05.2021	3	3.00	-111.50	-37.17	0.00	10 388.50	10 388.50	10 500.00	10 534.50	10 388.50	10 388.50
24.05.2021	6	6.00	287.50	47.92	0.00	10 676.00	10 676.00	10 388.50	10 734.50	10 388.50	10 676.00
25.05.2021	8	8.00	-157.50	-19.69	0.00	10 518.50	10 518.50	10 676.00	10 729.50	10 518.50	10 518.50
26.05.2021	5	5.00	-139.00	-27.80	0.00	10 379.50	10 379.50	10 518.50	10 549.50	10 379.50	10 379.50
27.05.2021	8	8.00	-105.00	-13.13	0.00	10 274.50	10 274.50	10 379.50	10 401.50	10 274.50	10 274.50
