Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
5491	2023-05-26 04:00:40	2023.05.26 04:23:40	-31.0	5.0	-31.0	15.5
5496	2023-05-26 07:46:40	2023.05.26 09:30:00	-7.5	71.5	57.0	8.25
4403	2023-05-26 13:01:20	2023.05.26 13:25:40	-23.5	13.5	-23.5	11.75
5498	2023-05-29 02:11:40	2023.05.29 03:36:40	-29.0	50.0	-29.0	14.5
5500	2023-05-29 04:21:20	2023.05.29 04:29:20	-35.0	0.5	-35.0	17.5
5503	2023-05-29 05:01:40	2023.05.29 07:23:40	-39.0	8.5	-39.0	19.5
5505	2023-05-29 07:53:20	2023.05.29 09:30:00	-17.0	42.0	35.5	12.25
5508	2023-05-30 03:06:40	2023.05.30 05:31:40	-23.0	5.5	-23.0	11.5
5520	2023-06-01 04:27:40	2023.06.01 04:43:40	-69.0	48.0	-69.0	34.5
5524	2023-06-01 07:18:40	2023.06.01 10:30:00	-12.5	64.0	56.5	16.75
4418	2023-06-02 01:00:40	2023.06.02 06:30:40	-23.5	30.5	-23.5	11.75
5528	2023-06-02 03:20:20	2023.06.02 03:38:40	-15.5	0.0	-15.5	7.75
5531	2023-06-02 04:35:40	2023.06.02 05:30:00	-7.5	31.5	30.0	9.25
5533	2023-06-02 08:13:40	2023.06.02 08:51:40	-13.0	11.5	-13.0	6.5
4420	2023-06-02 20:42:40	2023.06.02 23:30:00	-45.0	50.5	-13.5	27.25
5538	2023-06-05 04:05:40	2023.06.05 04:21:40	-20.0	6.0	-20.0	10.0
5542	2023-06-05 08:32:40	2023.06.05 09:00:00	-1.5	23.0	20.0	5.25
5544	2023-06-06 02:10:20	2023.06.06 02:41:40	-21.5	5.0	-21.5	10.75
5547	2023-06-06 03:44:00	2023.06.06 05:00:00	-9.5	38.5	37.0	14.5
5549	2023-06-06 07:28:40	2023.06.06 08:57:40	-25.5	15.5	-25.5	12.75
4427	2023-06-06 15:11:40	2023.06.06 17:00:00	-16.0	145.0	62.0	17.25
4430	2023-06-07 01:15:40	2023.06.07 01:30:00	-1.5	28.0	25.5	6.5
5551	2023-06-07 03:49:40	2023.06.07 04:01:40	-24.0	2.0	-24.0	12.0
5555	2023-06-07 05:42:40	2023.06.07 09:45:20	-20.5	18.5	-20.5	10.25
5557	2023-06-08 02:51:40	2023.06.08 06:58:40	-42.5	20.5	-42.5	21.25
5561	2023-06-08 08:33:40	2023.06.08 09:13:40	-64.5	2.5	-64.5	32.25
4438	2023-06-09 01:03:20	2023.06.09 14:47:40	-43.0	90.0	-43.0	21.5
5568	2023-06-09 05:33:40	2023.06.09 06:00:00	-0.5	24.0	20.0	6.75
5572	2023-06-09 08:15:40	2023.06.09 10:13:40	-15.5	25.0	-15.5	7.75
5575	2023-06-12 05:03:20	2023.06.12 06:42:40	-16.5	10.0	-16.5	8.25
5578	2023-06-12 07:59:20	2023.06.12 09:30:00	-10.5	53.5	53.5	11.5
4445	2023-06-12 15:07:40	2023.06.12 15:48:40	-17.0	41.5	-17.0	8.5
4449	2023-06-13 01:00:40	2023.06.13 01:45:40	-19.0	9.5	-19.0	9.5
5583	2023-06-13 04:31:40	2023.06.13 07:00:00	-5.5	89.5	80.0	12.5
5585	2023-06-13 07:42:20	2023.06.13 08:20:20	-18.5	1.0	-18.5	9.25
