Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
2659	2025.02.06 05:08:40	2025.02.06 06:08:40	-15	16	-15	SHORT
2663	2025.02.07 05:13:40	2025.02.07 06:30:00	-5	48	42.5	SHORT
2667	2025.02.11 04:06:40	2025.02.11 04:30:00	-0.5	68.5	46	SHORT
2671	2025.02.13 04:05:40	2025.02.13 06:00:40	-65.5	18.5	-65.5	SHORT
2677	2025.02.18 04:10:40	2025.02.18 04:37:40	-24	0.5	-24	SHORT
2682	2025.02.20 01:46:40	2025.02.20 03:30:00	-31.5	67	42	SHORT
2689	2025.02.24 05:17:40	2025.02.24 05:44:40	-30	6	-30	SHORT
2691	2025.02.25 04:23:40	2025.02.25 09:30:00	-41.5	147.5	137.5	SHORT
2697	2025.03.04 05:03:40	2025.03.04 05:19:40	-53	22	-53	SHORT
2701	2025.03.06 01:31:40	2025.03.06 06:49:40	-74	48.5	-74	SHORT
2703	2025.03.07 04:00:40	2025.03.07 04:15:40	-40	7	-40	SHORT
2705	2025.03.07 05:14:40	2025.03.07 08:30:00	-33	112	68.5	SHORT
2721	2025.03.21 04:12:40	2025.03.21 04:36:40	-37	12.5	-37	SHORT
2723	2025.03.21 05:10:40	2025.03.21 06:30:00	-6	95.5	54	SHORT
2727	2025.03.26 04:07:40	2025.03.26 05:30:00	-9.5	95.5	82.5	SHORT
