Date	PNL	MAE	MFE
28.04.2021	6557.5	6545.0	6585.0
29.04.2021	6591.0	6556.0	6606.5
30.04.2021	6590.0	6544.0	6597.0
03.05.2021	6632.5	6589.5	6637.5
04.05.2021	6663.5	6617.0	6671.5
05.05.2021	6716.5	6645.0	6735.5
06.05.2021	6902.0	6704.5	6920.0
07.05.2021	6867.0	6867.0	6912.5
10.05.2021	6768.5	6768.5	6867.0
11.05.2021	6796.0	6710.0	6804.5
12.05.2021	6806.5	6649.5	6835.0
13.05.2021	6709.0	6709.0	6831.5
14.05.2021	6742.5	6639.0	6750.5
17.05.2021	6641.5	6632.5	6748.0
18.05.2021	6763.0	6622.0	6772.0
19.05.2021	6729.5	6729.5	6777.0
20.05.2021	6792.0	6682.5	6828.5
21.05.2021	6826.5	6792.0	6843.0
24.05.2021	6975.0	6793.0	6981.0
25.05.2021	7022.0	6949.0	7030.0
26.05.2021	6930.5	6930.5	7060.5
27.05.2021	6880.5	6880.5	6970.0
28.05.2021	6876.0	6876.0	6912.5
31.05.2021	6848.5	6848.5	6888.0
01.06.2021	6913.5	6837.5	6927.5
02.06.2021	6931.0	6887.5	6982.5
03.06.2021	6925.5	6925.5	6974.0
04.06.2021	6966.5	6878.5	6987.0
07.06.2021	6886.5	6886.5	6970.0
08.06.2021	6926.0	6878.0	6977.5
09.06.2021	6912.0	6870.0	6944.5
10.06.2021	6916.0	6898.5	6948.5
11.06.2021	6899.5	6899.0	6939.5
14.06.2021	6876.5	6847.0	6917.5
15.06.2021	6940.5	6874.5	6944.0
16.06.2021	6892.0	6892.0	6949.0
17.06.2021	7165.5	6852.5	7183.0
18.06.2021	7134.0	7134.0	7196.5
21.06.2021	7192.5	7067.5	7195.0
22.06.2021	7153.0	7153.0	7225.0
23.06.2021	7144.0	7135.5	7190.5
24.06.2021	7156.0	7132.0	7171.5
25.06.2021	7141.5	7108.0	7161.5
28.06.2021	7136.5	7136.5	7167.0
29.06.2021	7102.5	7102.5	7161.5
30.06.2021	7104.5	7101.0	7119.5
01.07.2021	7150.0	7058.0	7182.5
02.07.2021	7235.5	7110.5	7236.0
05.07.2021	7205.0	7205.0	7238.5
06.07.2021	7192.5	7192.5	7240.5
07.07.2021	7212.5	7166.0	7214.5
08.07.2021	7171.0	7171.0	7231.5
09.07.2021	7254.0	7132.0	7303.5
12.07.2021	7203.5	7203.5	7283.0
13.07.2021	7188.0	7188.0	7221.5
14.07.2021	7134.0	7134.0	7225.0
15.07.2021	7125.5	7122.5	7180.0
16.07.2021	7183.0	7125.5	7183.0
19.07.2021	7128.5	7128.5	7234.5
20.07.2021	7118.5	7105.5	7230.0
21.07.2021	7143.5	7100.0	7155.5
22.07.2021	7195.5	7126.5	7197.0
23.07.2021	7232.0	7192.5	7241.0
26.07.2021	7273.0	7221.0	7276.5
27.07.2021	7239.5	7239.5	7280.5
28.07.2021	7316.0	7232.0	7366.5
29.07.2021	7338.0	7248.5	7338.0
30.07.2021	7352.0	7248.5	7373.0
02.08.2021	7413.5	7340.0	7439.5
03.08.2021	7382.5	7360.5	7433.5
04.08.2021	7380.5	7359.5	7392.5
05.08.2021	7370.5	7370.5	7407.5
